station_name,neighborhood,x,y,z,nav_x,nav_y,nav_z
HellsKitchenNorthStation,ba:neighborhood_hellskitchen,295.977478,0,423.276917,298.786469,0.09000015,423.276917
IndustryCitySunsetParkStation,ba:neighborhood_industrycity,-1427.89,2.03654,-1395.70874,-1427.89,2.04999924,-1392.89966
MurrayHillNorthStation,ba:neighborhood_murrayhill,-115.653,-0.0595024228,-82.813,-115.652985,0.09000397,-80.00401
LowerManhattanCenterStation,ba:neighborhood_lowermanhattan,-403.42,0.13,-225.3,-406.229,0.05500031,-225.300018
HellsKitchenWestStation,ba:neighborhood_hellskitchen,144.456,-0.0595024377,144.165,144.456,0.03669539,146.973984
GarmentDistrictEastStation,,382.534,0.0321879461,-194.264,385.343,0.09000397,-194.264
LowerManhattanNorthStation,ba:neighborhood_lowermanhattan,-559.187,0.034,-10.793,-561.996033,0.0200004578,-10.7929993
GarmentDistrictWestStation,,145.815,0.053,-323.34,143.006012,0.130837634,-323.34
MidtownStPatrickStation,ba:neighborhood_midtown,-115.12,-0.0595024228,146.5,-115.119995,0.093528226,149.30899
MurrayHillEastStation,ba:neighborhood_murrayhill,57.2580032,0.0321879461,-190.904,57.258007,0.09000397,-193.713013
MidtownMadisonParkStation,ba:neighborhood_midtown,122.98,-0.0595024228,352.02,122.980011,0.056297645,354.828979
HellsKitchenEastStation,ba:neighborhood_hellskitchen,382.026764,0.05516131,149.096,384.835754,0.09000397,149.096
MidtownTimesSquareStation,ba:neighborhood_midtown,28.07,0.053,79.34,30.7832756,0.0550003052,80.06702
MurrayHillSouthStation,ba:neighborhood_murrayhill,-117.298,0.0321879461,-338.082,-117.297989,0.09000397,-340.891
TheHamptonsStation,ba:neighborhood_thehamptons,-2932.87,0,-1060.92,-2935.58667,0.0550003052,-1061.63452
IndustryCityHarborStation,ba:neighborhood_industrycity,-1438.53,0.211,-888.64,-1438.53,0.2649994,-885.831055
HellsKitchenSouthStation,ba:neighborhood_hellskitchen,250.322,0.05516829,-8.551,253.131012,0.09000015,-8.5510025
MidtownNorthWestStation,ba:neighborhood_midtown,-312.54,-0.0595024228,442.31,-312.540039,0.09000397,439.501
GarmentDistrictHarborStation,,400.695,-0.0229830686,-392.951,403.504,0.0200004559,-392.951
IndustryCityCenterStation,ba:neighborhood_industrycity,-1668,0.2,-1166.29,-1668,0.2649994,-1163.481
